TIMESTAMP, USER, NICE, SYS, IOWAIT, IRQ, SOFT, STEAL, GUEST, GNICE, IDLE
1562675749, 9.11, 0.00, 3.75, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 87.02
1562675750, 8.50, 0.00, 4.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 87.00
1562675751, 9.10, 0.00, 3.99, 0.12, 0.00, 0.12, 0.12, 0.00, 0.00, 86.53
1562675752, 9.11, 0.00, 4.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 86.77
1562675753, 8.65, 0.00, 4.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.97
1562675754, 9.00, 0.00, 4.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 86.88
1562675755, 9.25, 0.00, 3.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.88
1562675756, 8.86, 0.00, 4.49, 1.00, 0.00, 0.25, 0.00, 0.00, 0.00, 85.39
1562675757, 9.38, 0.00, 3.75, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 86.75
1562675758, 8.90, 0.00, 4.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.97
1562675759, 9.38, 0.00, 3.75, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 86.75
1562675760, 9.50, 0.00, 3.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.75
1562675761, 9.50, 0.00, 4.00, 0.12, 0.00, 0.00, 0.25, 0.00, 0.00, 86.12
1562675762, 9.02, 0.00, 6.35, 9.15, 0.00, 0.76, 0.25, 0.00, 0.00, 74.46
1562675763, 9.31, 0.00, 5.03, 4.15, 0.00, 0.50, 0.25, 0.00, 0.00, 80.75
1562675764, 8.89, 0.00, 4.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.73
1562675765, 10.01, 0.00, 3.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.98
1562675766, 8.25, 0.00, 5.25, 0.00, 0.00, 0.00, 0.25, 0.00, 0.00, 86.25
1562675767, 9.26, 0.00, 3.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.86
1562675768, 7.26, 0.00, 5.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.98
1562675769, 10.14, 0.00, 2.75, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 86.98
1562675770, 9.86, 0.00, 3.25, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 86.77
1562675771, 9.00, 0.00, 4.00, 0.12, 0.00, 0.12, 0.00, 0.00, 0.00, 86.75
1562675772, 9.77, 0.00, 3.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.97
1562675773, 8.14, 0.00, 4.88, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 86.86
1562675774, 9.15, 0.00, 3.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.97
1562675775, 8.01, 0.00, 5.01, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 86.86
1562675776, 8.36, 0.00, 4.74, 0.00, 0.00, 0.12, 0.12, 0.00, 0.00, 86.64
1562675777, 8.49, 0.00, 4.62, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 86.77
1562675778, 8.51, 0.00, 5.01, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 86.36
1562675779, 9.75, 0.00, 3.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.75
1562675780, 12.62, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.88
1562675781, 12.64, 0.00, 0.38, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 86.86
1562675782, 12.73, 0.00, 0.50, 0.12, 0.00, 0.12, 0.00, 0.00, 0.00, 86.52
1562675783, 12.61, 0.00, 0.62, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 86.64
1562675784, 12.53, 0.00, 0.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 87.09
1562675785, 12.62, 0.00, 0.50, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 86.75
1562675786, 12.47, 0.00, 0.62, 0.00, 0.00, 0.12, 0.12, 0.00, 0.00, 86.66
1562675787, 12.64, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.86
