TIMESTAMP, PID, COMMAND, KB_READ/S, KB_WRITE/S
1562618584, 23260, run, 0.00, 103904.95
1562618585, 23260, run, 0.00, 103932.67
1562618586, 23260, run, 0.00, 98000.00
1562618587, 597, jbd2/sda1-8, -1.00, -1.00
1562618587, 23260, run, 0.00, 102740.59
1562618588, 23260, run, 0.00, 99310.89
1562618589, 23260, run, 0.00, 101077.23
1562618590, 23260, run, 0.00, 100772.28
1562618591, 23260, run, 0.00, 98776.24
1562618592, 597, jbd2/sda1-8, -1.00, -1.00
1562618592, 23260, run, 0.00, 100772.28
1562618593, 23260, run, 0.00, 105374.26
1562618594, 23260, run, 0.00, 104958.42
1562618595, 23260, run, 0.00, 108673.27
1562618596, 23260, run, 0.00, 107481.19
1562618597, 597, jbd2/sda1-8, -1.00, -1.00
1562618597, 22912, kworker/u16:0, -1.00, -1.00
1562618597, 23260, run, 0.00, 105394.06
1562618598, 22912, kworker/u16:0, -1.00, -1.00
1562618598, 23260, run, 0.00, 109061.39
1562618600, 23260, run, 0.00, 111833.66
1562618601, 23260, run, 0.00, 111813.86
1562618602, 23260, run, 0.00, 105388.24
1562618603, 597, jbd2/sda1-8, -1.00, -1.00
1562618603, 17742, kworker/u16:2, -1.00, -1.00
1562618603, 23260, run, 0.00, 99976.24
1562618604, 17742, kworker/u16:2, -1.00, -1.00
1562618604, 23260, run, 0.00, 82843.56
1562618604, 23264, sh, 0.00, 7.92
1562618604, 23265, sh, 0.00, 3.96
1562618605, 17742, kworker/u16:2, -1.00, -1.00
1562618605, 23260, run, 0.00, 73104.95
1562618606, 17742, kworker/u16:2, -1.00, -1.00
1562618606, 23260, run, 0.00, 81421.78
1562618607, 23260, run, 0.00, 100063.37
1562618608, 597, jbd2/sda1-8, -1.00, -1.00
1562618608, 23260, run, 0.00, 97196.04
1562618608, 23264, sh, 0.00, 3.96
1562618608, 23265, sh, 0.00, 3.96
1562618609, 23260, run, 0.00, 102740.59
1562618610, 23260, run, 0.00, 16332.00
1562618613, 597, jbd2/sda1-8, -1.00, -1.00
1562618623, 597, jbd2/sda1-8, -1.00, -1.00
1562618632, 597, jbd2/sda1-8, -1.00, -1.00
1562618635, 22912, kworker/u16:0, -1.00, -1.00
1562618635, 23264, sh, 0.00, 7.92
1562618636, 23265, sh, 0.00, 3.96
1562618637, 597, jbd2/sda1-8, -1.00, -1.00
1562618640, 23264, sh, 0.00, 3.92
1562618641, 22912, kworker/u16:0, -1.00, -1.00
1562618643, 597, jbd2/sda1-8, -1.00, -1.00
1562618645, 23265, sh, 0.00, 3.96
1562618648, 597, jbd2/sda1-8, -1.00, -1.00
1562618658, 597, jbd2/sda1-8, -1.00, -1.00
1562618663, 597, jbd2/sda1-8, -1.00, -1.00
1562618666, 23264, sh, 0.00, 7.92
1562618669, 23264, sh, 0.00, 3.92
1562618671, 23265, sh, 0.00, 3.96
1562618673, 597, jbd2/sda1-8, -1.00, -1.00
1562618673, 23265, sh, 0.00, 3.96
1562618680, 23260, run, 0.00, 120247.06
1562618681, 23260, run, 0.00, 143465.35
1562618681, 23264, sh, 0.00, 7.92
1562618682, 23260, run, 0.00, 146945.10
1562618682, 23265, sh, 0.00, 3.92
1562618683, 597, jbd2/sda1-8, -1.00, -1.00
1562618683, 23260, run, 0.00, 152411.88
1562618684, 23260, run, 0.00, 137670.59
1562618685, 23260, run, 0.00, 140910.89
1562618686, 17742, kworker/u16:2, -1.00, -1.00
1562618686, 23260, run, 0.00, 135944.55
1562618687, 17742, kworker/u16:2, -1.00, -1.00
1562618687, 23260, run, 0.00, 100102.97
1562618688, 597, jbd2/sda1-8, -1.00, -1.00
1562618688, 23260, run, 0.00, 57960.40
1562618689, 23260, run, 0.00, 37821.78
1562618690, 23260, run, 0.00, 45152.00
1562618691, 23260, run, 0.00, 38613.86
1562618692, 23260, run, 0.00, 34440.00
1562618693, 23260, run, 0.00, 34664.00
1562618694, 23260, run, 0.00, 35334.65
1562618695, 23260, run, 0.00, 40087.13
1562618696, 23260, run, 0.00, 42194.06
1562618696, 23264, sh, 0.00, 3.96
1562618697, 23260, run, 0.00, 40863.37
1562618698, 597, jbd2/sda1-8, -1.00, -1.00
1562618698, 23260, run, 0.00, 42899.01
1562618699, 23260, run, 0.00, 58479.21
1562618700, 23260, run, 0.00, 48657.43
1562618701, 23260, run, 0.00, 41100.99
1562618702, 23260, run, 0.00, 33980.20
1562618703, 597, jbd2/sda1-8, -1.00, -1.00
1562618703, 23260, run, 0.00, 32514.85
1562618704, 23260, run, 0.00, 52431.37
1562618705, 23260, run, 0.00, 57900.99
1562618706, 23260, run, 0.00, 39627.72
1562618706, 23265, sh, 0.00, 3.96
1562618707, 23260, run, 0.00, 43469.31
1562618708, 23260, run, 0.00, 40871.29
1562618709, 23260, run, 0.00, 33869.31
1562618710, 23260, run, 0.00, 34431.68
1562618711, 23260, run, 0.00, 32625.74
1562618712, 23260, run, 0.00, 37560.78
1562618712, 23264, sh, 0.00, 7.84
1562618713, 597, jbd2/sda1-8, -1.00, -1.00
1562618713, 23260, run, 0.00, 41322.77
1562618713, 23264, sh, 0.00, 3.96
1562618713, 23265, sh, 0.00, 3.96
1562618714, 23260, run, 0.00, 42258.82
1562618714, 23265, sh, 0.00, 3.92
1562618715, 23260, run, 0.00, 43699.01
1562618716, 23260, run, 0.00, 55382.18
1562618717, 17742, kworker/u16:2, -1.00, -1.00
1562618717, 23260, run, 0.00, 42067.33
1562618718, 597, jbd2/sda1-8, -1.00, -1.00
1562618718, 17742, kworker/u16:2, -1.00, -1.00
1562618718, 23260, run, 0.00, 37489.11
1562618720, 23260, run, 0.00, 37259.41
1562618721, 23260, run, 0.00, 33196.04
1562618722, 23260, run, 0.00, 40807.84
1562618723, 23260, run, 0.00, 49219.80
1562618724, 597, jbd2/sda1-8, -1.00, -1.00
1562618724, 23260, run, 0.00, 50986.14
1562618725, 23260, run, 0.00, 39287.13
1562618726, 23260, run, 0.00, 46629.70
1562618727, 23260, run, 0.00, 36894.12
1562618728, 597, jbd2/sda1-8, -1.00, -1.00
1562618728, 23260, run, 0.00, 33988.12
1562618729, 23260, run, 0.00, 35001.98
1562618730, 23260, run, 0.00, 35904.95
1562618731, 23260, run, 0.00, 42003.96
1562618732, 23260, run, 0.00, 43560.00
1562618733, 23260, run, 0.00, 42209.90
1562618734, 23260, run, 0.00, 48887.13
1562618735, 23260, run, 0.00, 58938.61
1562618736, 23260, run, 0.00, 47421.78
1562618737, 23260, run, 0.00, 38495.05
1562618738, 597, jbd2/sda1-8, -1.00, -1.00
1562618738, 23260, run, 0.00, 32952.00
1562618738, 23264, sh, 0.00, 4.00
1562618739, 23260, run, 0.00, 39746.53
1562618740, 23260, run, 0.00, 46831.37
1562618741, 23260, run, 0.00, 27318.81
1562618742, 23260, run, 0.00, 43920.79
1562618743, 597, jbd2/sda1-8, -1.00, -1.00
1562618743, 23260, run, 0.00, 38281.19
1562618744, 23260, run, 0.00, 45457.43
1562618744, 23264, sh, 0.00, 7.92
1562618744, 23265, sh, 0.00, 3.96
1562618745, 23260, run, 0.00, 35223.76
1562618746, 23260, run, 0.00, 33758.42
1562618747, 23260, run, 0.00, 32625.74
1562618748, 597, jbd2/sda1-8, -1.00, -1.00
1562618748, 17742, kworker/u16:2, -1.00, -1.00
1562618748, 23260, run, 0.00, 35940.59
1562618748, 23264, sh, 0.00, 3.96
1562618749, 17742, kworker/u16:2, -1.00, -1.00
1562618749, 23260, run, 0.00, 41819.61
1562618750, 23260, run, 0.00, 43469.31
1562618751, 23260, run, 0.00, 43216.00
1562618752, 23260, run, 0.00, 51152.48
1562618752, 23264, sh, 0.00, 3.96
1562618753, 23260, run, 0.00, 56451.49
1562618754, 23260, run, 0.00, 45726.73
1562618755, 23260, run, 0.00, 36697.03
1562618756, 23260, run, 0.00, 32514.85
1562618757, 23260, run, 0.00, 43809.90
1562618758, 597, jbd2/sda1-8, -1.00, -1.00
1562618758, 23260, run, 0.00, 50063.37
1562618760, 23260, run, 0.00, 134443.14
1562618761, 23260, run, 0.00, 163877.23
1562618762, 23260, run, 0.00, 285627.72
1562618763, 23260, run, 0.00, 340388.12
1562618764, 597, jbd2/sda1-8, -1.00, -1.00
1562618764, 23260, run, 0.00, 343429.70
1562618765, 23260, run, 0.00, 346435.64
1562618766, 23260, run, 0.00, 347394.06
1562618767, 23227, execute.sh, 0.00, 8810364.36
