TIMESTAMP, TOTAL, USED, FREE, SHARED, BUFFER/CACHE, AVAILABLE
1562675749, 28818056, 1642908, 9615956, 303800, 17559192, 26430520
1562675750, 28818056, 1642844, 9510524, 303800, 17664688, 26429440
1562675751, 28818056, 1643332, 9407768, 303800, 17766956, 26428912
1562675752, 28818056, 1642876, 9313388, 303800, 17861792, 26429592
1562675753, 28818056, 1643808, 9215068, 303800, 17959180, 26428232
1562675754, 28818056, 1643172, 9114856, 303800, 18060028, 26429228
1562675755, 28818056, 1643400, 9016060, 303800, 18158596, 26429324
1562675756, 28818056, 1643292, 8920400, 303800, 18254364, 26429272
1562675757, 28818056, 1643908, 8826064, 303800, 18348084, 26428488
1562675758, 28818056, 1643560, 8731044, 303800, 18443452, 26429088
1562675759, 28818056, 1643756, 8632424, 303800, 18541876, 26428496
1562675760, 28818056, 1643628, 8532064, 303800, 18642364, 26428732
1562675761, 28818056, 1643016, 8429644, 303800, 18745396, 26429372
1562675762, 28818056, 1643752, 8331704, 303800, 18842600, 26428996
1562675763, 28818056, 1643164, 8243148, 303800, 18931744, 26429440
1562675764, 28818056, 1643088, 8150116, 303800, 19024852, 26429828
1562675765, 28818056, 1643228, 8050868, 303800, 19123960, 26429588
1562675766, 28818056, 1642844, 7946640, 303800, 19228572, 26429712
1562675767, 28818056, 1642856, 7840760, 303800, 19334440, 26429456
1562675768, 28818056, 1643164, 7733320, 303800, 19441572, 26429788
1562675769, 28818056, 1642728, 7629368, 303800, 19545960, 26429944
1562675770, 28818056, 1642748, 7527144, 303800, 19648164, 26429656
1562675771, 28818056, 1643232, 7426344, 303800, 19748480, 26429632
1562675772, 28818056, 1642356, 7331592, 303800, 19844108, 26430240
1562675773, 28818056, 1643096, 7232656, 303800, 19942304, 26429916
1562675774, 28818056, 1642556, 7129076, 303800, 20046424, 26430168
1562675775, 28818056, 1641968, 7024308, 303800, 20151780, 26430980
1562675776, 28818056, 1664984, 6933884, 303800, 20219188, 26408100
1562675777, 28818056, 1825896, 6772764, 303800, 20219396, 26247160
1562675778, 28818056, 1903600, 6695052, 303800, 20219404, 26169456
1562675779, 28818056, 1933036, 6665616, 303800, 20219404, 26140020
1562675780, 28818056, 2061080, 6537572, 303800, 20219404, 26011976
1562675781, 28818056, 2061836, 6536808, 303800, 20219412, 26011212
1562675782, 28818056, 2062140, 6536504, 303800, 20219412, 26010908
1562675783, 28818056, 2062080, 6536548, 303800, 20219428, 26010960
1562675784, 28818056, 2062540, 6536096, 303800, 20219420, 26010508
1562675785, 28818056, 2062248, 6536388, 303800, 20219420, 26010800
1562675786, 28818056, 2062584, 6536052, 303800, 20219420, 26010464
1562675787, 28818056, 2062700, 6535936, 303800, 20219420, 26010348
1562675788, 28818056, 2061952, 6536684, 303800, 20219420, 26011096
1562675789, 28818056, 2062244, 6536380, 303800, 20219432, 26010792
1562675790, 28818056, 2062964, 6535644, 303800, 20219448, 26010056
1562675792, 28818056, 2062292, 6536296, 303800, 20219468, 26010708
1562675793, 28818056, 2062508, 6536056, 303800, 20219492, 26010468
1562675794, 28818056, 2062528, 6536064, 303800, 20219464, 26010476
1562675795, 28818056, 2062556, 6535428, 303800, 20220072, 26009840
1562675796, 28818056, 2061800, 6536780, 303800, 20219476, 26011192
1562675797, 28818056, 2062016, 6536548, 303800, 20219492, 26010960
1562675798, 28818056, 2062068, 6536480, 303800, 20219508, 26010900
1562675799, 28818056, 2061760, 6536788, 303800, 20219508, 26011208
1562675800, 28818056, 2061908, 6536628, 303800, 20219520, 26011048
1562675801, 28818056, 2062228, 6536304, 303800, 20219524, 26010724
1562675802, 28818056, 2062020, 6536496, 303800, 20219540, 26010916
1562675803, 28818056, 2062548, 6535952, 303800, 20219556, 26010376
1562675804, 28818056, 2061564, 6536980, 303800, 20219512, 26011404
1562675805, 28818056, 2061580, 6536964, 303800, 20219512, 26011388
1562675806, 28818056, 2062644, 6535948, 303800, 20219464, 26010376
1562675807, 28818056, 2062340, 6536236, 303800, 20219480, 26010664
1562675808, 28818056, 2062380, 6536212, 303800, 20219464, 26010640
1562675809, 28818056, 2062884, 6535708, 303800, 20219464, 26010136
1562675810, 28818056, 2062108, 6536476, 303800, 20219472, 26010904
1562675811, 28818056, 2062568, 6536000, 303800, 20219488, 26010432
1562675812, 28818056, 2061528, 6537016, 303800, 20219512, 26011448
1562675813, 28818056, 2061940, 6536588, 303800, 20219528, 26011024
1562675814, 28818056, 2061780, 6536768, 303800, 20219508, 26011204
1562675815, 28818056, 2061888, 6536660, 303800, 20219508, 26011096
1562675816, 28818056, 2061776, 6536800, 303800, 20219480, 26011236
1562675817, 28818056, 2061752, 6536824, 303800, 20219480, 26011260
1562675818, 28818056, 2061376, 6537196, 303800, 20219484, 26011636
1562675819, 28818056, 2061468, 6537104, 303800, 20219484, 26011544
1562675820, 28818056, 2061592, 6536980, 303800, 20219484, 26011420
1562675821, 28818056, 2061484, 6537104, 303800, 20219468, 26011536
1562675822, 28818056, 2061824, 6536764, 303800, 20219468, 26011196
1562675823, 28818056, 2062188, 6536376, 303800, 20219492, 26010824
1562675824, 28818056, 2061776, 6536788, 303800, 20219492, 26011240
1562675825, 28818056, 2061852, 6536712, 303800, 20219492, 26011164
1562675826, 28818056, 2062068, 6536496, 303800, 20219492, 26010948
1562675827, 28818056, 2061944, 6536620, 303800, 20219492, 26011072
1562675828, 28818056, 2061900, 6536652, 303800, 20219504, 26011104
1562675829, 28818056, 2061512, 6537016, 303800, 20219528, 26011468
1562675830, 28818056, 2061732, 6536784, 303800, 20219540, 26011236
1562675831, 28818056, 2061944, 6536568, 303800, 20219544, 26011020
1562675832, 28818056, 2061712, 6536792, 303800, 20219552, 26011244
1562675833, 28818056, 2061284, 6537212, 303800, 20219560, 26011664
1562675834, 28818056, 2061412, 6537080, 303800, 20219564, 26011532
1562675835, 28818056, 2061124, 6537368, 303800, 20219564, 26011820
1562675836, 28818056, 2061788, 6536740, 303800, 20219528, 26011192
1562675837, 28818056, 2061176, 6537352, 303800, 20219528, 26011804
1562675838, 28818056, 2061272, 6537252, 303800, 20219532, 26011708
1562675839, 28818056, 2061568, 6536948, 303800, 20219540, 26011404
1562675840, 28818056, 2061560, 6536936, 303800, 20219560, 26011392
1562675841, 28818056, 2061776, 6536712, 303800, 20219568, 26011168
1562675842, 28818056, 2061688, 6536796, 303800, 20219572, 26011252
1562675843, 28818056, 2061316, 6537160, 303800, 20219580, 26011620
1562675844, 28818056, 2061268, 6537208, 303800, 20219580, 26011668
1562675845, 28818056, 1643464, 6955012, 303800, 20219580, 26429472
1562675846, 28818056, 1643424, 6912320, 303800, 20262312, 26428948
1562675847, 28818056, 1643972, 6754064, 303800, 20420020, 26429060
1562675848, 28818056, 1643472, 6598792, 303800, 20575792, 26429372
1562675849, 28818056, 1643272, 6446340, 303800, 20728444, 26429348
1562675850, 28818056, 1642792, 6295936, 303800, 20879328, 26430204
1562675851, 28818056, 1643364, 6156912, 303800, 21017780, 26429160
1562675852, 28818056, 1644272, 6009732, 303800, 21164052, 26428536
1562675853, 28818056, 1644068, 5858808, 303800, 21315180, 26428364
1562675854, 28818056, 1644528, 5768884, 303800, 21404644, 26428492
1562675855, 28818056, 1643368, 5727256, 303800, 21447432, 26429244
1562675856, 28818056, 1643484, 5692984, 303800, 21481588, 26429380
1562675857, 28818056, 1643772, 5652736, 303800, 21521548, 26428828
1562675858, 28818056, 1644292, 5617524, 303800, 21556240, 26428140
1562675859, 28818056, 1643800, 5582320, 303800, 21591936, 26429116
1562675860, 28818056, 1643924, 5548620, 303800, 21625512, 26429204
1562675861, 28818056, 1643820, 5511560, 303800, 21662676, 26428672
1562675862, 28818056, 1644048, 5467764, 303800, 21706244, 26428580
1562675863, 28818056, 1643712, 5424608, 303800, 21749736, 26428888
1562675864, 28818056, 1643804, 5380580, 303800, 21793672, 26429004
1562675865, 28818056, 1643920, 5330140, 303800, 21843996, 26428808
1562675866, 28818056, 1644552, 5265708, 303800, 21907796, 26428548
1562675867, 28818056, 1644372, 5217796, 303800, 21955888, 26428552
1562675868, 28818056, 1643524, 5181692, 303800, 21992840, 26429164
1562675869, 28818056, 1643248, 5149016, 303800, 22025792, 26429488
1562675870, 28818056, 1644208, 5109592, 303800, 22064256, 26428200
1562675871, 28818056, 1645112, 5695780, 303800, 21477164, 26427440
