TIMESTAMP, TOTAL, USED, FREE, SHARED, BUFFER/CACHE, AVAILABLE
1562618584, 28818056, 1642676, 9619300, 303800, 17556080, 26430140
1562618585, 28818056, 1643100, 9511792, 303800, 17663164, 26429432
1562618586, 28818056, 1643500, 9403980, 303800, 17770576, 26428752
1562618587, 28818056, 1642460, 9303236, 303800, 17872360, 26430104
1562618588, 28818056, 1643252, 9197176, 303800, 17977628, 26428920
1562618589, 28818056, 1642732, 9094628, 303800, 18080696, 26429396
1562618590, 28818056, 1642920, 8991360, 303800, 18183776, 26429496
1562618591, 28818056, 1643676, 8887456, 303800, 18286924, 26428748
1562618592, 28818056, 1641968, 8786076, 303800, 18390012, 26430012
1562618593, 28818056, 1643196, 8682256, 303800, 18492604, 26429040
1562618594, 28818056, 1642640, 8573812, 303800, 18601604, 26429888
1562618595, 28818056, 1643628, 8464780, 303800, 18709648, 26429076
1562618596, 28818056, 1642576, 8355000, 303800, 18820480, 26429852
1562618597, 28818056, 1642508, 8244024, 303800, 18931524, 26429944
1562618598, 28818056, 1642104, 8135864, 303800, 19040088, 26430324
1562618599, 28818056, 1642388, 8024984, 303800, 19150684, 26429976
1562618600, 28818056, 1642164, 7910484, 303800, 19265408, 26430540
1562618601, 28818056, 1642748, 7794872, 303800, 19380436, 26429884
1562618602, 28818056, 1641544, 7683136, 303800, 19493376, 26430948
1562618603, 28818056, 1642964, 7576464, 303800, 19598628, 26429716
1562618604, 28818056, 1642476, 7485628, 303800, 19689952, 26429676
1562618605, 28818056, 1641852, 7408312, 303800, 19767892, 26429592
1562618606, 28818056, 1642316, 7329472, 303800, 19846268, 26430148
1562618607, 28818056, 1641728, 7235056, 303800, 19941272, 26430960
1562618608, 28818056, 1641888, 7133924, 303800, 20042244, 26430340
1562618609, 28818056, 1642408, 7027868, 303800, 20147780, 26429892
1562618610, 28818056, 1664588, 6937900, 303800, 20215568, 26408212
1562618611, 28818056, 1835784, 6766488, 303800, 20215784, 26237036
1562618612, 28818056, 1913920, 6688340, 303800, 20215796, 26158888
1562618613, 28818056, 1946284, 6656020, 303800, 20215752, 26126568
1562618614, 28818056, 2060800, 6541524, 303800, 20215732, 26012076
1562618615, 28818056, 2061636, 6540680, 303800, 20215740, 26011232
1562618616, 28818056, 2060900, 6541424, 303800, 20215732, 26011976
1562618617, 28818056, 2061664, 6540620, 303800, 20215772, 26011172
1562618618, 28818056, 2061224, 6541052, 303800, 20215780, 26011604
1562618619, 28818056, 2061260, 6541064, 303800, 20215732, 26011620
1562618620, 28818056, 2061288, 6541004, 303800, 20215764, 26011556
1562618621, 28818056, 2060868, 6541416, 303800, 20215772, 26011968
1562618622, 28818056, 2061008, 6541356, 303800, 20215692, 26011908
1562618623, 28818056, 2061084, 6541252, 303800, 20215720, 26011808
1562618624, 28818056, 2061292, 6541080, 303800, 20215684, 26011636
1562618626, 28818056, 2061384, 6540988, 303800, 20215684, 26011544
1562618627, 28818056, 2061420, 6540960, 303800, 20215676, 26011516
1562618628, 28818056, 2061940, 6540432, 303800, 20215684, 26010988
1562618629, 28818056, 2062168, 6540200, 303800, 20215688, 26010760
1562618630, 28818056, 2062372, 6540008, 303800, 20215676, 26010568
1562618631, 28818056, 2061860, 6540480, 303800, 20215716, 26011040
1562618632, 28818056, 2061748, 6540612, 303800, 20215696, 26011172
1562618633, 28818056, 2062196, 6540132, 303800, 20215728, 26010692
1562618634, 28818056, 2062248, 6540076, 303800, 20215732, 26010640
1562618635, 28818056, 2062080, 6540204, 303800, 20215772, 26010768
1562618636, 28818056, 2062072, 6540228, 303800, 20215756, 26010792
1562618637, 28818056, 2061988, 6540344, 303800, 20215724, 26010908
1562618638, 28818056, 2061364, 6541004, 303800, 20215688, 26011568
1562618639, 28818056, 2061508, 6540868, 303800, 20215680, 26011432
1562618640, 28818056, 2061920, 6540480, 303800, 20215656, 26011044
1562618641, 28818056, 2062004, 6540392, 303800, 20215660, 26010960
1562618642, 28818056, 2061636, 6540760, 303800, 20215660, 26011328
1562618643, 28818056, 2061444, 6540956, 303800, 20215656, 26011524
1562618644, 28818056, 2061952, 6540448, 303800, 20215656, 26011020
1562618645, 28818056, 2062088, 6540296, 303800, 20215672, 26010868
